Date,CORESTICKM159SFRBATL
1971-10-24,4.435738336
1971-10-31,4.376576593
1971-11-07,4.2918920542
1971-11-14,4.2072075154
1971-11-21,4.1225229766
1971-11-28,4.0378384378000005
1971-12-05,3.8979747810000003
1971-12-12,3.842795663
1971-12-19,3.787616545
1971-12-26,3.732437427
1972-01-02,3.685762002333333
1972-01-09,3.6942656956666666
1972-01-16,3.702769389
1972-01-23,3.7112730823333333
1972-01-30,3.7197767756666664
1972-02-06,3.7509249686
1972-02-13,3.7735694682
1972-02-20,3.7962139678
1972-02-27,3.8188584673999997
1972-03-05,3.8847856242
1972-03-12,3.9280682814
1972-03-19,3.9713509386
1972-03-26,4.0146335958
1972-04-02,4.0406136072
1972-04-09,4.0233109614
1972-04-16,4.0060083156
1972-04-23,3.9887056698
1972-04-30,3.971403024
1972-05-07,3.9498951028
1972-05-14,3.9283871815999998
1972-05-21,3.9068792604
1972-05-28,3.8853713392
1972-06-04,3.7888087262
1972-06-11,3.7137540344
1972-06-18,3.6386993426000003
1972-06-25,3.5636446508
1972-07-02,3.4850484416666667
1972-07-09,3.4815069243333334
1972-07-16,3.477965407
1972-07-23,3.474423889666667
1972-07-30,3.4708823723333335
1972-08-06,3.4470985004
1972-08-13,3.4268561458
1972-08-20,3.4066137912000003
1972-08-27,3.3863714366
1972-09-03,3.3178485056
1972-09-10,3.2695679292
1972-09-17,3.2212873528
1972-09-24,3.1730067764
1972-10-01,3.159128706833333
1972-10-08,3.1935312136666667
1972-10-15,3.2279337205000003
1972-10-22,3.2623362273333334
1972-10-29,3.2967387341666665
1972-11-05,3.3186201814
1972-11-12,3.3060991218
1972-11-19,3.2935780622
1972-11-26,3.2810570026
1972-12-03,3.2443921162
1972-12-10,3.2202482893999997
1972-12-17,3.1961044626
1972-12-24,3.1719606358
1972-12-31,3.147816809
1973-01-07,3.0868139814
1973-01-14,3.0258111538
1973-01-21,2.9648083262
1973-01-28,2.9038054985999997
1973-02-04,2.8504706858
1973-02-11,2.8581387006
1973-02-18,2.8658067153999998
1973-02-25,2.8734747302
1973-03-04,2.8907890232
1973-03-11,2.9004353014
1973-03-18,2.9100815796
1973-03-25,2.9197278578
1973-04-01,2.9464289608333334
1973-04-08,2.9634837856666665
1973-04-15,2.9805386105
1973-04-22,2.9975934353333336
1973-04-29,3.0146482601666666
1973-05-06,3.0604471094
1973-05-13,3.0891911338
1973-05-20,3.1179351582000003
1973-05-27,3.1466791826000002
1973-06-03,3.1600872992
1973-06-10,3.1447513914000003
1973-06-17,3.1294154836
1973-06-24,3.1140795758
1973-07-01,3.0845063423333334
1973-07-08,3.070269016666667
1973-07-15,3.0560316910000003
1973-07-22,3.0417943653333332
1973-07-29,3.0275570396666667
1973-08-05,3.0751984088
1973-08-12,3.1370771036
1973-08-19,3.1989557984
1973-08-26,3.2608344932
1973-09-02,3.4470921347999997
1973-09-09,3.5714710816
1973-09-16,3.6958500283999998
1973-09-23,3.8202289752
1973-09-30,3.944607922
1973-10-07,4.1087339666
1973-10-14,4.2728600112
1973-10-21,4.436986055799999
1973-10-28,4.6011121004
1973-11-04,4.797749416399999
1973-11-11,4.8302606878
1973-11-18,4.8627719592
1973-11-25,4.8952832306000005
1973-12-02,4.991171998333334
1973-12-09,5.0545494946666665
1973-12-16,5.117926991
1973-12-23,5.181304487333334
1973-12-30,5.244681983666666
1974-01-06,5.4156029692
1974-01-13,5.5231464584
1974-01-20,5.6306899476
1974-01-27,5.7382334368
1974-02-03,5.934929164
1974-02-10,6.024081402
1974-02-17,6.11323364
1974-02-24,6.202385878
1974-03-03,6.3964630393999995
1974-03-10,6.5013879628
1974-03-17,6.6063128862
1974-03-24,6.7112378096
1974-03-31,6.816162733
1974-04-07,6.8738744176
1974-04-14,6.9315861022
1974-04-21,6.9892977868
1974-04-28,7.0470094714
1974-05-05,7.2294400458
1974-05-12,7.3541589356
1974-05-19,7.4788778254
1974-05-26,7.6035967152
1974-06-02,7.9059263522
1974-06-09,8.0835370994
1974-06-16,8.2611478466
1974-06-23,8.4387585938
1974-06-30,8.616369341
1974-07-07,8.7984944376
1974-07-14,8.9806195342
1974-07-21,9.1627446308
1974-07-28,9.3448697274
1974-08-04,9.642238065
1974-08-11,9.757481306
1974-08-18,9.872724547
1974-08-25,9.987967788
1974-09-01,10.184860875166667
1974-09-08,10.266510721333333
1974-09-15,10.348160567499999
1974-09-22,10.429810413666667
1974-09-29,10.511460259833333
1974-10-06,10.586781697
1974-10-13,10.580453288
1974-10-20,10.574124879
1974-10-27,10.56779647
1974-11-03,10.6463198826
1974-11-10,10.7311717042
1974-11-17,10.8160235258
1974-11-24,10.9008753474
1974-12-01,11.070779793333333
1974-12-08,11.155832417666668
1974-12-15,11.240885042
1974-12-22,11.325937666333333
1974-12-29,11.410990290666668
1975-01-05,11.5217100448
1975-01-12,11.547377174600001
1975-01-19,11.5730443044
1975-01-26,11.5987114342
1975-02-02,11.656329922600001
1975-02-09,11.6882812812
1975-02-16,11.7202326398
1975-02-23,11.7521839984
1975-03-02,11.749077540166667
1975-03-09,11.714019723333333
1975-03-16,11.6789619065
1975-03-23,11.643904089666668
1975-03-30,11.608846272833334
1975-04-06,11.598701118000001
1975-04-13,11.623613780000001
1975-04-20,11.648526442
1975-04-27,11.673439104
1975-05-04,11.5440676758
1975-05-11,11.3897835856
1975-05-18,11.2354994954
1975-05-25,11.0812154052
1975-06-01,10.844604719
1975-06-08,10.762278123
1975-06-15,10.679951527
1975-06-22,10.597624930999999
1975-06-29,10.515298334999999
1975-07-06,10.2998636772
1975-07-13,10.1667556154
1975-07-20,10.0336475536
1975-07-27,9.9005394918
1975-08-03,9.5980631294
1975-08-10,9.4286948288
1975-08-17,9.2593265282
1975-08-24,9.0899582276
1975-08-31,8.920589927
1975-09-07,8.8405561746
1975-09-14,8.7605224222
1975-09-21,8.6804886698
1975-09-28,8.6004549174
1975-10-05,8.438254437
1975-10-12,8.356087709
1975-10-19,8.273920981
1975-10-26,8.191754253000001
