Date,GDP,GDP_standardized
1947-01-01,243.164,0.0
1947-04-01,245.968,9.999524273702535e-05
1947-07-01,249.585,0.0002289834000051503
1947-10-01,259.745,0.0005913056775401633
1948-01-01,265.742,0.0008051685415536947
1948-04-01,272.567,0.0010485592447206692
1948-07-01,279.196,0.0012849602661556701
1948-10-01,280.366,0.0013266843866985786
1949-01-01,275.034,0.0011365365142756764
1949-04-01,271.351,0.0010051946886692343
1949-07-01,272.889,0.001060042293280342
1949-10-01,270.627,0.000979375660230716
1950-01-01,280.828,0.0013431600650668043
1950-04-01,290.383,0.0016839070495005693
1950-07-01,308.153,0.002317614418771947
1950-10-01,319.945,0.0027381364952180952
1951-01-01,336.0,0.0033106841493346934
1951-04-01,344.09,0.003599186828986096
1951-07-01,351.385,0.0038593385036532145
1951-10-01,356.178,0.0040302647513131866
1952-01-01,359.82,0.004160144449618553
1952-04-01,361.03,0.0042032950358210485
1952-07-01,367.701,0.004441193846198617
1952-10-01,380.812,0.004908753627769636
1953-01-01,387.98,0.0051643762739675666
1953-04-01,391.749,0.00529878500074212
1953-07-01,391.171,0.005278172571961092
1953-10-01,385.97,0.005092696374573337
1954-01-01,385.345,0.005070407848642295
1954-04-01,386.121,0.005098081282438275
1954-07-01,390.996,0.0052719317847004
1954-10-01,399.734,0.0055835432080371065
1955-01-01,413.073,0.006059233843867771
1955-04-01,421.532,0.006360895669228861
1955-07-01,430.221,0.0066707596721325745
1955-10-01,437.092,0.006915790810808074
1956-01-01,439.746,0.007010436807321649
1956-04-01,446.01,0.007233821329612921
1956-07-01,451.191,0.007418584294170884
1956-10-01,460.463,0.007749239034063074
1957-01-01,469.779,0.008081462886180809
1957-04-01,472.025,0.008161558932966599
1957-07-01,479.49,0.008427773086686961
1957-10-01,474.864,0.008262802333155761
1958-01-01,467.54,0.008001616470885445
1958-04-01,471.978,0.008159882835816585
1958-07-01,485.841,0.008654260171787834
1958-10-01,499.555,0.009143323923177122
1959-01-01,510.33,0.00952757811022828
1959-04-01,522.653,0.009967036518305442
1959-07-01,525.034,0.010051946886692338
1959-10-01,528.6,0.010179116300244491
1960-01-01,542.648,0.010680091039891327
1960-04-01,541.08,0.010624173586035532
1960-07-01,545.604,0.010785506852134783
1960-10-01,540.197,0.010592684356600154
1961-01-01,545.018,0.010764609130221838
1961-04-01,555.545,0.011140019230183556
1961-07-01,567.664,0.011572202663396827
1961-10-01,580.612,0.01203394959740503
1962-01-01,594.013,0.012511851255008056
1962-04-01,600.366,0.012738409663391907
1962-07-01,609.027,0.013047275140333912
1962-10-01,612.28,0.013163282460099793
1963-01-01,621.672,0.013498216596970746
1963-04-01,629.752,0.01378636266020725
1963-07-01,644.444,0.014310303496973431
1963-10-01,653.938,0.014648875121276328
1964-01-01,669.822,0.015215324634698194
1964-04-01,678.674,0.015531001485164722
1964-07-01,692.031,0.0160073340305422
1964-10-01,697.319,0.016195912790739557
1965-01-01,717.79,0.016925942253674522
1965-04-01,730.191,0.01736818226978788
1965-07-01,749.323,0.01805046079476818
1965-10-01,771.857,0.018854060224096327
1966-01-01,795.734,0.019705553237945102
1966-04-01,804.981,0.02003531643680005
1966-07-01,819.638,0.020558009116114093
1966-10-01,833.302,0.021045289785428897
1967-01-01,844.17,0.021432860505138592
1967-04-01,848.983,0.02160449998562836
1967-07-01,865.233,0.02218400165983544
1967-10-01,881.439,0.02276193422181698
1968-01-01,909.387,0.023758605778170183
1968-04-01,934.344,0.024648613364827796
1968-07-01,950.825,0.02523635287821899
1968-10-01,968.03,0.025849911420048704
1969-01-01,993.337,0.026752400581227697
1969-04-01,1009.02,0.02731168210471014
1969-07-01,1029.956,0.028058294230937798
1969-10-01,1038.147,0.02835039873637966
1970-01-01,1051.2,0.028815890142744282
1970-04-01,1067.375,0.029392717193839638
1970-07-01,1086.059,0.03005901930343257
1970-10-01,1088.608,0.03014992082758973
1971-01-01,1135.156,0.03180989891565073
1971-04-01,1156.271,0.03256289447570505
1971-07-01,1177.675,0.03332619625014987
1971-10-01,1190.297,0.03377631748903244
1972-01-01,1230.609,0.03521390958076388
1972-04-01,1266.369,0.03648916988043436
1972-07-01,1290.566,0.037352074619559826
1972-10-01,1328.904,0.03871927063099067
1973-01-01,1377.49,0.04045192714440761
1973-04-01,1413.887,0.04174990390970701
1973-07-01,1433.838,0.042461389319067344
1973-10-01,1476.289,0.04397526166194519
1974-01-01,1491.209,0.04450733335297102
1974-04-01,1530.056,0.045892681139920094
1974-07-01,1560.026,0.04696146053536541
1974-10-01,1599.679,0.04837555160535516
1975-01-01,1616.116,0.048961722006520804
1975-04-01,1651.853,0.05023616208843702
1975-07-01,1709.82,0.052303360460668524
1975-10-01,1761.831,0.05415815809618758
1976-01-01,1820.487,0.05624992733940547
1976-04-01,1852.332,0.05738557231264391
1976-07-01,1886.558,0.05860612765426923
1976-10-01,1934.273,0.06030772287794867
1977-01-01,1988.648,0.062246824633949295
1977-04-01,2055.909,0.06464546230218578
1977-07-01,2118.473,0.06687659724034527
1977-10-01,2164.27,0.06850979343564753
1978-01-01,2202.76,0.06988241001658481
1978-04-01,2331.633,0.07447823274028262
1978-07-01,2395.053,0.07673989404355729
1978-10-01,2476.949,0.079660439834995
1979-01-01,2526.61,0.08143143261301335
1979-04-01,2591.247,0.08373649413398092
1979-07-01,2667.565,0.08645811928918931
1979-10-01,2723.883,0.08846651161460437
1980-01-01,2789.842,0.09081871782562127
1980-04-01,2797.352,0.09108653675320869
1980-07-01,2856.483,0.09319524527613417
1980-10-01,2985.557,0.09779823598977139
1981-01-01,3124.206,0.10274268692067219
1981-04-01,3162.532,0.10410945499240516
1981-07-01,3260.609,0.10760704180478717
1981-10-01,3280.818,0.10832772791765187
1982-01-01,3274.302,0.10809535666170518
1982-04-01,3331.972,0.11015196352641426
1982-07-01,3366.322,0.11137694091158433
1982-10-01,3402.561,0.11266928313752833
1983-01-01,3473.413,0.1151959817603542
1983-04-01,3578.848,0.11895596693081721
1983-07-01,3689.179,0.12289055149801363
1983-10-01,3794.706,0.12665381753949367
1984-01-01,3908.054,0.13069599327906442
1984-04-01,4009.601,0.13431732598741558
1984-07-01,4084.25,0.13697943186297773
1984-10-01,4148.551,0.1392725110724048
1985-01-01,4230.168,0.1421831072658669
1985-04-01,4294.887,0.14449109304143662
1985-07-01,4386.773,0.14776789863135614
1985-10-01,4444.094,0.14981205958318533
1986-01-01,4507.894,0.15208727231022606
1986-04-01,4545.34,0.15342265813744813
1986-07-01,4607.669,0.15564541258985753
1986-10-01,4657.627,0.15742699687539832
1987-01-01,4722.156,0.15972820693908502
1987-04-01,4806.16,0.16272392747078296
1987-07-01,4884.555,0.1655196218553654
1987-10-01,5007.994,0.16992165921920832
1988-01-01,5073.372,0.17225314601651978
1988-04-01,5190.036,0.17641357575927025
1988-07-01,5282.835,0.17972294042786982
1988-10-01,5399.509,0.18388372678703518
1989-01-01,5511.253,0.18786870125365648
1989-04-01,5612.463,0.19147801598882563
1989-07-01,5695.365,0.194434437391602
1989-10-01,5747.237,0.196284278058954
1990-01-01,5872.701,0.20075853024681353
1990-04-01,5960.028,0.20387275441318164
1990-07-01,6015.116,0.2058372829195644
1990-10-01,6004.733,0.2054670080959772
1991-01-01,6035.178,0.2065527267711301
1991-04-01,6126.862,0.20982232870946868
1991-07-01,6205.937,0.2126422730102641
1991-10-01,6264.54,0.214732152186483
1992-01-01,6363.102,0.21824703489498753
1992-04-01,6470.763,0.22208640287940654
1992-07-01,6566.641,0.22550556974215277
1992-10-01,6680.803,0.22957677405789612
1993-01-01,6729.459,0.23131192688621732
1993-04-01,6808.939,0.23414631415181605
1993-07-01,6882.098,0.23675528418155856
1993-10-01,7013.738,0.2414497826672583
1994-01-01,7115.652,0.24508420319803617
1994-04-01,7246.931,0.2497658278311581
1994-07-01,7331.075,0.2527665409926646
1994-10-01,7455.288,0.2571961804670206
1995-01-01,7522.289,0.25958554610846973
1995-04-01,7580.997,0.26167916975704514
1995-07-01,7683.125,0.2653212218791018
1995-10-01,7772.586,0.26851154798840887
1996-01-01,7868.468,0.27193085749772106
1996-04-01,8032.84,0.27779263283266054
1996-07-01,8131.408,0.281307729511014
1996-10-01,8259.771,0.2858853647975521
1997-01-01,8362.655,0.28955437712057497
1997-04-01,8518.825,0.2951236556720162
1997-07-01,8662.823,0.3002588607232452
1997-10-01,8765.907,0.30393500537456597
1998-01-01,8866.48,0.3075216036441062
1998-04-01,8969.699,0.31120256261702817
1998-07-01,9121.097,0.31660166381528065
1998-10-01,9293.991,0.3227673476589951
1999-01-01,9411.682,0.3269644019075555
1999-04-01,9526.21,0.331048658384084
1999-07-01,9686.626,0.33676935626529036
1999-10-01,9900.169,0.3443846501739182
2000-01-01,10002.179,0.34802249422227916
2000-04-01,10247.72,0.35677888933529334
2000-07-01,10318.165,0.359291073670033
2000-10-01,10435.744,0.3634841338147465
2001-01-01,10470.231,0.3647139968448006
2001-04-01,10599.0,0.36930611075778347
2001-07-01,10598.02,0.3692711623491236
2001-10-01,10660.465,0.3714980535519459
2002-01-01,10783.5,0.375885683612627
2002-04-01,10887.46,0.3795930678618927
2002-07-01,10984.04,0.38303726919696474
2002-10-01,11061.433,0.3857972306167745
2003-01-01,11174.129,0.389816154966094
2003-04-01,11312.766,0.3947601779572969
2003-07-01,11566.669,0.4038147757164477
2003-10-01,11772.234,0.4111455610492711
2004-01-01,11923.447,0.41653806484384803
2004-04-01,12112.815,0.4232912385694632
2004-07-01,12305.307,0.43015581926309215
2004-10-01,12527.214,0.4380693871411396
2005-01-01,12767.286,0.4466307487368468
2005-04-01,12922.656,0.45217149797509637
2005-07-01,13142.642,0.46001655983984213
2005-10-01,13324.204,0.466491358791989
2006-01-01,13599.16,0.47629674108942177
2006-04-01,13753.424,0.4817980485521837
2006-07-01,13870.188,0.48596204445908314
2006-10-01,14039.56,0.492002128001471
2007-01-01,14215.651,0.49828182211302785
2007-04-01,14402.082,0.5049302575975879
2007-07-01,14564.117,0.510708691676366
2007-10-01,14715.058,0.5160914955044579
2008-01-01,14706.538,0.5157876583189659
2008-04-01,14865.701,0.5214636721633856
2008-07-01,14898.999,0.5226511335017086
2008-10-01,14608.209,0.5122810847729284
2009-01-01,14430.902,0.5059580261053201
2009-04-01,14381.236,0.5041868550190943
2009-07-01,14448.882,0.5065992224193043
2009-10-01,14651.249,0.5138159618226437
2010-01-01,14764.61,0.5178586011635538
2010-04-01,14980.193,0.5255466448208206
2010-07-01,15141.607,0.5313029330202337
2010-10-01,15309.474,0.5372893457921795
2011-01-01,15351.448,0.5387862075320667
2011-04-01,15557.539,0.5461357508883137
2011-07-01,15647.68,0.5493503269138337
2011-10-01,15842.259,0.5562893334532516
2012-01-01,16068.805,0.5643683356861696
2012-04-01,16207.115,0.5693006973206054
2012-07-01,16319.541,0.5733099930267226
2012-10-01,16420.419,0.5769074680969173
2013-01-01,16648.189,0.5850301201790186
2013-04-01,16728.687,0.5879008109956538
2013-07-01,16953.838,0.5959300652386937
2013-10-01,17192.019,0.604423990670344
2014-01-01,17197.738,0.6046279395980234
2014-04-01,17518.508,0.6160671243386638
2014-07-01,17804.228,0.6262563685450913
2014-10-01,17912.079,0.6301025122413935
2015-01-01,18063.529,0.6355034678450033
2015-04-01,18279.784,0.6432154761253512
2015-07-01,18401.626,0.6475605618477352
2015-10-01,18435.137,0.6487556191156953
2016-01-01,18525.933,0.6519935535163912
2016-04-01,18711.702,0.6586183809942852
2016-07-01,18892.639,0.6650708914205009
2016-10-01,19089.379,0.6720869627671779
2017-01-01,19280.084,0.6788878161074647
2017-04-01,19438.643,0.6845422903204248
2017-07-01,19692.595,0.6935986355000087
2017-10-01,20037.088,0.7058838213617084
2018-01-01,20328.553,0.7162779416984941
2018-04-01,20580.912,0.7252774778831849
